uuid,file_name,file_path,file_type,evidence_category,category,subject,file_size_bytes,confidence_score,location_path
doc-0001,JPEC Engagement letter Caron-Beauchamp v Garcia 08-21-25.docx,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\JPEC Engagement letter Caron-Beauchamp v Garcia 08-21-25.docx,DOCX,correspondence,Correspondence,Legal Engagement Letter,2055422,75,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia
doc-0002,6075 Enlgish Oaks AutoCAD 092021mls.dwg,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\6075 Enlgish Oaks AutoCAD 092021mls.dwg,DWG,design_file,Design Files (DWG/CAD),6075 English Oaks Project Document,9992045,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia
doc-0003,Correspondence to Opposing Counsel- 8.21.25.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Correspondence to Opposing Counsel- 8.21.25.pdf,PDF,correspondence,Correspondence,Legal Correspondence,178368,75,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia
doc-0004,JPEC Engagement letter Caron-Beauchamp v Garcia 08-21-25.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\JPEC Engagement letter Caron-Beauchamp v Garcia 08-21-25.pdf,PDF,correspondence,Correspondence,Legal Engagement Letter,177347,75,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia
doc-0005,Caron - Produce to John Ehrig.zip.rpctemp3,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig.zip.rpctemp3,OTHER,other,Other,Caron   Produce to John Ehrig.zip,719462400,75,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia
doc-0006,422136_PSingh_091625_Ex 001.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\422136_PSingh_091625_Ex 001.pdf,PDF,other,Other,422136 PSingh 091625 Ex 001,40410699,75,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig
doc-0007,Case_Against_Danny_Garcia.docx,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Case_Against_Danny_Garcia.docx,DOCX,other,Other,Case Against Danny Garcia,36982,75,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig
doc-0008,Timeline_Drawings_to_Clients.docx,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Timeline_Drawings_to_Clients.docx,DOCX,design_file,Design Files (DWG/CAD),Architectural Drawing,30524,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig
doc-0009,Timeline_Drawings_to_Clients.md,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Timeline_Drawings_to_Clients.md,MD,design_file,Design Files (DWG/CAD),Architectural Drawing,4677,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig
doc-0010,415017DGarcia-Deerey072825 Ex 001.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 001.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 001,5397214,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
doc-0011,415017DGarcia-Deerey072825 Ex 002.pdf,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits\415017DGarcia-Deerey072825 Ex 002.pdf,PDF,deposition,Deposition/Transcript,415017DGarcia Deerey072825 Ex 002,1002838,95,\\adam\DataPool\Projects\2026-001_Kara_Murphy_vs_Danny_Garcia\Caron - Produce to John Ehrig\Danny Garcia Transcript and Exhibits 7.28.25\415017\Exhibits
