Jurisdiction,Expert Testimony Standard,Standard Name,Key Test,Peer Review Required,Error Rate Required,General Acceptance Required,Testability Required,Judicial Gatekeeping,Flexibility,Spoliation Standard,Independent Spoliation Tort,Adverse Inference Available,FRE 902 Self-Authentication,Best Practice Recommendation
Federal Courts,Daubert,FRE 702 (2023 Amendment),Four-factor reliability test,Encouraged but not mandatory,Yes - must quantify where possible,Yes - one of four factors,Yes - must be testable/falsifiable,High - judge as gatekeeper,High - case-specific application,FRCP 37(e) - Intent required for adverse inference,No,Yes - intent to deprive required,Yes - FRE 902(13)(14),Prepare comprehensive Daubert defense; cite NIST/ISO/SWGDE; quantify error rates; demonstrate testability
Alabama,Daubert,Ala. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Alaska,Daubert,Alaska R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Arizona,Daubert,Ariz. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Arkansas,Daubert,Ark. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
California,Frye (Modified),Sargon Enterprises (2012),General acceptance + reliability analysis,Implicitly through acceptance,Not explicitly required,Yes - primary test,Not explicitly required,Moderate - hybrid approach,Moderate,California spoliation law,No - overruled in Cedars-Sinai (1998),Yes - CACI No. 204,State rules,Prepare for Daubert-like scrutiny despite Frye label; cite NIST/ISO for acceptance; avoid net opinion; emphasize Kelly-Frye precedent
Colorado,Daubert,Colo. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Connecticut,Daubert,Conn. Code Evid. 7-2,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Delaware,Daubert,Del. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Florida,Frye,Fla. Stat. 90.702,General acceptance test,Implicitly through acceptance,No,Yes - sole test,No,Low - deference to field,Low - rigid application,Florida spoliation law,No,Yes,State rules,Emphasize NIST/ISO/SWGDE general acceptance; cite industry adoption (EnCase/FTK); avoid novel techniques; focus on community consensus
Georgia,Daubert,Ga. Code 24-7-702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Hawaii,Daubert,Haw. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Idaho,Daubert,Idaho R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Illinois,Frye,Frye v. United States (1923),General acceptance test,Implicitly through acceptance,No,Yes - sole test,No,Low - deference to field,Low - rigid application,Boyd v. Travelers (1995) - duty before filing,Yes - negligent spoliation claim,Yes - Rule 219(c) dismissal available,State rules,Emphasize NIST/ISO/SWGDE acceptance; cite IACIS/HTCIA curricula; provide expert declarations; focus on community standards; spoliation preservation duty arises early
Indiana,Daubert,Ind. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules + counterclaim (2025),Yes - National Union Fire Ins. Co. v. Cummins (2025),Yes,Follows FRE,Prepare as federal Daubert jurisdiction; quantify spoliation damages if applicable
Iowa,Daubert,Iowa R. Evid. 5.702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Kansas,Frye,Frye v. United States (1923),General acceptance test,Implicitly through acceptance,No,Yes - sole test,No,Low - deference to field,Low - rigid application,State procedural rules,No,Yes,State rules,Emphasize general acceptance; cite industry standards; avoid novel techniques
Kentucky,Daubert,Ky. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Louisiana,Daubert,La. Code Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Maine,Daubert,Me. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Maryland,Frye-Reed,Frye v. United States + Reed (1980),General acceptance + reliability,Yes,Encouraged,Yes - primary test,Encouraged,Moderate,Moderate,State procedural rules,No,Yes,State rules,Emphasize both general acceptance and reliability; hybrid preparation between Daubert and pure Frye
Massachusetts,Daubert,Mass. Guide to Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Michigan,Daubert,Mich. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Minnesota,Frye-Mack,Frye-Mack test,General acceptance for novel scientific evidence,Yes for novel evidence,No,Yes - for novel evidence,No,Low for novel evidence,Low,State procedural rules,No,Yes,State rules,Distinguish "novel" vs. "established" evidence; if established digital forensics - less scrutiny; if novel CAD techniques - full Frye analysis
Mississippi,Daubert,Miss. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Missouri,Daubert,Mo. Rev. Stat. § 490.065,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Montana,Daubert,Mont. R. Evid. 702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
Nebraska,Daubert,Neb. Rev. Stat. § 27-702,Follows federal Daubert,Yes,Yes,Yes,Yes,High,High,State procedural rules,No,Yes,Follows FRE,Prepare as federal Daubert jurisdiction
